cam,dtnt,BB,BO,TO,TB,TS,SB,Top.Roughness,Dist.FW,FPAR,Elevation,isothermal,Veg,Land.Use,Soil.Class
57_2,4.3,0,0,0,0,0,2,51,20525.95117,0.191457346,323.4685669,0.513380766,Human/Other,Plantation,4
57_3,3.6,0,0,0,12,0,0,73,20294.14063,0.174879044,330.9424438,0.512383401,TallEuc,ModifiedNative,4
58_1,6.2,0,0,0,0,0,1,157,12205.3418,0.200135157,650.8885498,0.494235933,Rainforest,Reserve,4
59_1,5.3,0,0,0,0,0,1,37,11398.34277,0.192870051,602.9468384,0.498987496,Rainforest,ModifiedNative,4
59_2,4.8,0,0,0,0,0,6,47,11051.16016,0.190963671,417.1348877,0.508577824,TallEuc,ModifiedNative,4
6_2,9.5,1,0,2,3,0,1,59,5667.719238,0.267767429,386.6369324,0.520577252,TallEuc,ModifiedNative,4
60_1,3.9,0,0,0,0,0,1,110,16559.91992,0.242095217,427.0986938,0.505010545,Woodland,Reserve,4
60_2,5.1,1,0,0,0,0,0,157,16231.45117,0.191866472,465.0530396,0.501802981,Rainforest,Reserve,4
60_3,3.5,0,0,0,0,0,3,44,19700.79883,0.307435095,208.6909027,0.513818026,TallEuc,Reserve,4
60_5,6.7,0,0,0,0,1,0,31,13618.43945,0.1948082,425.5,0.507116973,TallEuc,ModifiedNative,4
61_1,1.2,0,0,0,1,0,0,41,17635.54102,0.275518507,109.9668274,0.516361237,TallEuc,Reserve,10
61_2,1.5,0,0,0,0,0,1,68,18709.8418,0.273888558,167.6368561,0.514432251,TallEuc,Reserve,4
62_1,1.9,0,0,0,0,0,2,19,15491.25391,0.317332834,94.73268127,0.516710758,Woodland,Reserve,10
62_2,1.5,1,0,0,3,0,3,47,16737.02148,0.314750195,129.8871765,0.515358984,Grassland,Reserve,10
62_3,1.3,2,0,0,2,0,0,47,16737.02148,0.314750195,129.8871765,0.515358984,Grassland,Reserve,10
63_1,2.9,0,0,0,3,0,0,94,10942.04199,0.240033329,249.6269684,0.508859515,TallEuc,Reserve,4
63_2,2.5,0,0,0,6,0,0,57,10622.73535,0.2468656,175.2053833,0.510895014,TallEuc,ModifiedNative,8
63_3,2.5,0,0,0,2,0,0,92,10068.28223,0.243011504,212.4471283,0.507813931,TallEuc,Reserve,4
64_1,4.7,0,0,0,0,2,0,101,8136.762207,0.207403585,449.599762,0.498249501,Rainforest,Plantation,4
65_1,5,0,0,0,0,0,1,141,3697.348633,0.208121136,461.3340454,0.507766485,TallEuc,Reserve,4
65_2,6.3,1,0,0,0,0,2,126,5391.494629,0.203252643,609.2822266,0.487008691,TallEuc,Reserve,4
65_3,6.8,0,0,0,10,0,4,73,5540.359863,0.216668278,445.8709717,0.506840825,Woodland,Reserve,4
66_1,1.5,0,0,0,0,0,0,57,7083.961914,0.217290968,261.3170776,0.507017553,Woodland,Reserve,4
67_1,6.2,1,0,0,2,0,7,22,13787.31348,0.244144797,144.4278107,0.50903213,Woodland,Reserve,4
68_1,9.3,0,0,0,6,0,0,18,15947.68262,0.30076015,116.2605515,0.507708848,Woodland,Reserve,4
68_2,9.1,1,0,0,0,0,3,24,14929.20605,0.332969159,120.6671295,0.508449912,Grassland,Reserve,4
