"cam","BB","BO","TO","TB","TS","SB","Top.Roughness","Dist.FW","FPAR","Elevation","isothermal","Veg","Land.Use","Soil.Class"
"7_1",0,0,0,0,0,1,141,6205.01220703125,0.253053307533264,354.774200439453,0.519881784915924,"Woodland","ModifiedNative","4"
"7_2",0,0,0,0,0,0,73,7014.9716796875,0.303475230932236,380.035797119141,0.519158124923706,"Woodland","Reserve","4"
"70_1",1,0,0,0,0,2,29,11761.6650390625,0.25296887755394,47.1805877685547,0.50968062877655,"TallEuc","Reserve","4"
"70_2",1,0,0,0,0,0,54,16613.60546875,0.245512455701828,120.33154296875,0.49825856089592,"TallEuc","Reserve","4"
"73_1",7,0,0,0,0,6,53,6524.56494140625,0.166523277759552,194.918930053711,0.50136923789978,"Human/Other","Plantation","8"
"73_2",1,0,0,2,0,6,15,7199.66845703125,0.187440440058708,185.301208496094,0.503834664821625,"Human/Other","Plantation","8"
"73_3",1,0,0,0,0,5,24,5853.7646484375,0.181400626897812,160.008514404297,0.502837657928467,"Woodland","Reserve","8"
"74_1",0,0,0,0,0,1,81,10527.9970703125,0.259472787380219,367.056671142578,0.493940234184265,"Woodland","Reserve","8"
"74_2",0,0,0,0,0,1,119,9266.078125,0.19071438908577,510.920745849609,0.481256037950516,"Human/Other","Reserve","4"
"74_3",2,0,0,3,0,0,36,8327.8046875,0.168034583330154,200.535781860352,0.500661015510559,"Human/Other","Plantation","8"
"75_1",1,0,0,0,0,0,16,7290.826171875,0.314478605985641,136.913284301758,0.504574596881866,"Shurbland","ModifiedNative","8"
"75_2",1,0,0,0,0,0,22,8068.505859375,0.292367279529572,125.842575073242,0.504081249237061,"Woodland","Reserve","8"
"75_3",0,0,0,0,0,0,70,10587.7958984375,0.327576518058777,118.862815856934,0.500582098960876,"Woodland","Reserve","8"
"75_4",5,0,0,1,0,1,21,4254.1298828125,0.29731497168541,79.639289855957,0.499458223581314,"Woodland","Reserve","8"
"75_5",3,0,0,0,0,0,43,2786.02319335938,0.313625365495682,184.699188232422,0.496997863054276,"Woodland","Reserve","4"
"75_6",1,0,0,1,0,0,18,665.689880371094,0.27008256316185,102.103485107422,0.501310408115387,"Human/Other","Reserve","8"
"76_1",0,0,0,5,0,0,20,504.389190673828,0.310743629932404,16.8295516967773,0.509973526000977,"Human/Other","Farming","13"
"76_2",0,0,0,2,0,7,20,504.389190673828,0.310743629932404,16.8295516967773,0.509973526000977,"Human/Other","Farming","13"
"76_3",0,0,0,12,0,2,7,344.287536621094,0.279230207204819,16.7328205108643,0.509884595870972,"Rainforest","Reserve","6"
"8_1",0,0,12,4,0,4,106,3812.02978515625,0.222198784351349,550.494323730469,0.510329842567444,"TallEuc","ModifiedNative","4"
"9_1",0,0,0,0,0,1,41,2254.2958984375,0.294859200716019,606.853210449219,0.505111634731293,"TallEuc","Reserve","4"
"9_2",0,0,0,4,0,0,53,2460.681640625,0.335790932178497,596.083557128906,0.506855070590973,"TallEuc","Reserve","4"
"9_3",0,0,0,0,0,1,113,3460.77270507812,0.200992211699486,603.066162109375,0.508375227451324,"TallEuc","Reserve","4"
"AF-N1",0,0,0,1,0,0,41,7614.365234375,0.26905569434166,380.887420654297,0.526690065860748,"TallEuc","ModifiedNative","9"
"AF-N1_S4-5",0,0,0,0,0,0,41,7614.365234375,0.26905569434166,380.887420654297,0.526690065860748,"TallEuc","ModifiedNative","9"
"AF-N3_S4-7",0,0,0,1,0,1,178,1057.42004394531,0.172272279858589,409.421295166016,0.510268330574036,"Woodland","Reserve","13"
"AF-N5",0,0,0,1,0,0,90,518.841430664062,0.309708744287491,426.012786865234,0.511937201023102,"Woodland","ModifiedNative","13"
"AF-S1-C1_S2-7",0,0,0,5,0,1,52,7289.35400390625,0.288984417915344,606.596374511719,0.497394382953644,"TallEuc","Reserve","9"
"AF-S1-C2_S2-5",3,0,0,3,0,0,18,7492.783203125,0.243080273270607,530.309936523438,0.503120422363281,"Grassland","Reserve","9"
"AF-S1-C3",0,16,0,37,0,9,42,11316.3486328125,0.24038453400135,501.177581787109,0.504586756229401,"Shurbland","Reserve","9"
"AF-S1-C3_S2-3",0,2,0,3,0,0,42,11316.3486328125,0.24038453400135,501.177581787109,0.504586756229401,"Shurbland","Reserve","9"
"AF-S1-C4",0,0,0,27,0,10,61,13011.9833984375,0.223497748374939,577.439453125,0.499311685562134,"Rainforest","Reserve","13"
"AF-S1-C5_S2-6",0,0,27,3,0,18,45,13500.94140625,0.20896352827549,551.979125976562,0.504925906658173,"Rainforest","Reserve","13"
"AF-S10-C1",17,0,0,3,0,25,10,7874.26318359375,0.181851640343666,374.855438232422,0.529052376747131,"TallEuc","ModifiedNative","4"
