"","cam","X","lon","lat","Land.Use","Veg","meanDiurnal","isothermal","meanTwetQ","meanTdryQ","precipseas","precipwarmQ","Elevation","FPAR","Pop.Density","Dist.FW","Dist.Road","Fire.Freq","Top.Roughness","dtnt","count_unique_cats","IDImg","unImg","IPC","Un.Est","Coat"
"24","2_3",24,147.79166,-42.76798,"Reserve","TallEuc",8.80666637420654,0.523271918296814,9,10.6000003814697,0.130063191056252,176,128.149673461914,0.328799098730087,9.51442050933838,8420.328125,0,1,31,0.7,NA,NA,NA,NA,NA,"TB"
"25","20_1",25,147.92728,-42.04471,"Reserve","Woodland",10.4366664886475,0.529242753982544,12.6000003814697,13.8000001907349,0.147609114646912,151,312.741607666016,0.339349418878555,0,6081.89697265625,424.572631835938,0,126,8.9,NA,NA,NA,NA,NA,"BB"
"26","21_1",26,147.89614,-42.03817,"Reserve","Woodland",9.77083301544189,0.516156017780304,7.59999990463257,12.3999996185303,0.145714491605759,166,489.982513427734,0.32062965631485,0,3331.3369140625,0,0,29,6.2,NA,NA,NA,NA,NA,"B"
"27","22_1",27,147.87588,-42.02487,"Modified","Shurbland",9.34083366394043,0.507102787494659,6.80000019073486,11.6000003814697,0.14678156375885,183,651.881713867188,0.242727786302567,0,1685.17407226562,0,0,25,4.5,NA,NA,NA,NA,NA,"TS"
"28","23_1",28,148.15154,-41.93564,"Reserve","TallEuc",9.77000045776367,0.531556010246277,14.6999998092651,8.60000038146973,0.151365056633949,192,159.547012329102,0.28128907084465,0,3917.0615234375,0,0,28,5.3,NA,NA,NA,NA,NA,"TB"
"29","23_2",29,148.14556,-41.85553,"Reserve","Woodland",9.95583343505859,0.530129551887512,14.6000003814697,8.30000019073486,0.138853818178177,198,273.240386962891,0.30281338095665,0,6879.43701171875,0,0,72,8.5,NA,NA,NA,NA,NA,"B"
"30","23_3",30,148.14852,-41.89913,"Reserve","TallEuc",9.51583290100098,0.519990921020508,13.6000003814697,13.3000001907349,0.128643080592155,207,381.180938720703,0.29092863202095,0,7872.90234375,0,0,52,9.3,NA,NA,NA,NA,NA,"B"
"31","24_1",31,147.95685,-41.93614,"Modified","TallEuc",10.5024995803833,0.528294742107391,14.1000003814697,13.6999998092651,0.139221578836441,156,350.268524169922,0.343096762895584,0,11727.501953125,526.477661132812,0,49,11,NA,NA,NA,NA,NA,NA
"32","25_2",32,147.94383,-41.92652,"Reserve","TallEuc",10.3266668319702,0.524462521076202,12,13.1999998092651,0.136908680200577,161,425.795166015625,0.336683988571167,0,11682.7841796875,0,0,30,9.6,NA,NA,NA,NA,NA,"TB"
"33","26_3",33,147.94053,-41.89858,"Modified","TallEuc",10.2666664123535,0.522742688655853,8.19999980926514,13,0.13459537923336,165,447.262817382812,0.271840244531631,0,10283.19921875,0,0,107,6.8,NA,NA,NA,NA,NA,"B"
"34","27_3",34,147.86456,-41.90815,"Reserve","TallEuc",8.5625,0.487059146165848,4.19999980926514,10.5,0.142161890864372,226,845.617858886719,0.311671704053879,0,9763.17578125,0,0,42,6.7,NA,NA,NA,NA,NA,"TB"
