cam,dtnt
AF-S4-C1,19.5
AF-S4-C1_S1-2,19.5
AF-S4-C2,19.9
AF-S4-C2_S1-3,19.9
AF-S4-C3,19.4
AF-S4-C3_S1,19.4
AF-S4-C4,19.8
AF-S4-C4_S1,19.9
AF-S4-C4_S2,19.9
AF-S4-C4_S3-4,19.9
AF-S4-C5,18.6
AF-S4-C5_S1-2,19.9
AF-S5-C1,20.6
AF-S5-C1_S1-2,20.6
AF-S5-C2,20.4
AF-S5-C2_S1-2,20.5
AF-S5-C3,19.9
AF-S5-C3_S1,20.4
AF-S5-C3_S2,20.9
AF-S5-C4,19.8
AF-S5-C4_S1-2,19.7
AF-S5-C5_S1-2,19.4
AF-S5-C5_S3-5,19.4
AF-S6-C1,20.3
AF-S6-C1_S1-3,19.3
AF-S6-C1_S4-5,19.3
AF-S6-C2,19.1
AF-S6-C2_S1-2,19.1
AF-S6-C2_S3,19.1
AF-S6-C3,18.7
AF-S6-C3_S1-2,18.7
AF-S6-C4,19
AF-S6-C5,19.7
AF-S7-C1,16.4
AF-S7-C1_S3,16.3
AF-S7-C2,16.7
AF-S7-C2_S1,17.7
AF-S7-C2_S2-3,16.6
AF-S7-C3,18.5
AF-S7-C3_S1,18.3
AF-S7-C4,18
AF-S7-C5,18.4
AF-S8-C1,4.8
AF-S8-C1_S1,16.8
AF-S8-C1_S2,25.1
AF-S8-C1_S3,4.8
AF-S8-C2,4.8
AF-S8-C2_S1,15.2
AF-S8-C2_S2,24.1
AF-S8-C3,7.8
AF-S8-C3_S1,14.9
AF-S8-C3_S2,24.1
AF-S8-C4,7.1
AF-S8-C4_S1-2,7.1
AF-S8-C5,7.3
AF-S8-C5_S1-3,7.3
AF-S9-C1,3.4
AF-S9-C2,4.4
AF-S9-C2_S1-2,4.5
AF-S9-C3,5.7
AF-S9-C3_S1-3,5.7
AF-S9-C4,3.9
AF-S9-C4_S1-3,3.8
AF-S9-C5,5
AF-S9-C5_S1-2,5
BF-N1,2.8
BF-N2,4.2
BF-N3,11.9
BF-N4,7.3
BF-N5_S1-2,3.7
BF-S10-C1,2.6
BF-S10-C2,3.3
BF-S10-C3,7.2
BF-S10-C4,1.3
BF-S10-C5,3.9
BF-S1-C1,10.1
BF-S1-C2,2.3
BF-S1-C3,1.6
BF-S1-C3_S1,1.6
BF-S1-C4,0.8
BF-S1-C5,3.6
BF-S2-C1,5.2
BF-S2-C2,9.1
BF-S2-C3,9.3
BF-S2-C4,7.2
BF-S2-C5,1.1
BF-S3-C1,15.6
BF-S3-C2,15.3
BF-S3-C3,17.4
BF-S3-C4,19.9
BF-S3-C4_S1,20.2
BF-S3-C5,25.9
BF-S4-C1,21.8
BF-S4-C2,22.9
BF-S4-C3,22.4
BF-S4-C4,12.5
BF-S4-C5,14.5
BF-S5-C1,4.2
BF-S5-C2,2.4
BF-S5-C3,6.2
BF-S5-C4,4.8
BF-S5-C4_S1,4.9
BF-S5-C5,3.5
BF-S6-C1,10.3
BF-S6-C2,11.3
BF-S6-C3,8
BF-S6-C4,9.1
BF-S6-C5,11.6
BF-S7-C1_S1,12.1
BF-S7-C2,15.4
BF-S7-C3,17.5
BF-S7-C4,17.6
BF-S7-C5,16.3
BF-S8-C1,9.2
BF-S8-C2,10
BF-S8-C3,9.9
BF-S8-C4,11.1
BF-S8-C5,10.8
BF-S9-C1,5.1
BF-S9-C1_S1,5.1
BF-S9-C2,7.9
BF-S9-C3,9
BF-S9-C4,10.8
BF-S9-C5,10.3
CM-N1,2.7
CM-N2,6.6
CM-N3,17.1
CM-N4,6.5
CM-N4_S1,6.6
CM-N5,4.3
CM-N5_S1,4.3
CM-S10-C1,7.2
CM-S10-C2,8.6
CM-S10-C2_S1,8.6
CM-S10-C3,10.5
CM-S10-C4,7.9
CM-S10-C5,5
CM-S1-C1,4.6
CM-S1-C2,2.9
CM-S1-C3,2.8
CM-S1-C4,3.6
CM-S1-C5,0.8
CM-S2-C1,2.1
CM-S2-C2,4.8
CM-S2-C3,3.9
CM-S2-C4,4.1
CM-S2-C5,2.9
CM-S3-C1,10
CM-S3-C2,7.4
CM-S3-C3,3.4
CM-S3-C3_S1,3.4
CM-S3-C4,4.8
CM-S3-C5,7.1
CM-S4-C1,11.5
CM-S4-C2,11.3
CM-S4-C3,11.3
CM-S4-C4,12.1
CM-S4-C5,10
CM-S5-C2,10.8
CM-S5-C3,10.4
CM-S5-C4,15.4
CM-S5-C5,15.5
CM-S6-C1,6.3
CM-S6-C2,5.1
CM-S6-C3,3.3
CM-S6-C4,2.6
CM-S6-C5,5.6
CM-S7-C1,8.5
CM-S7-C2,6.8
CM-S7-C3,6.3
CM-S7-C4,6.6
CM-S7-C5,7.8
CM-S8-C1,8.2
CM-S8-C2,5
CM-S8-C3,3.5
CM-S8-C4,3.8
CM-S8-C5,2
CM-S9-C1,3.1
CM-S9-C2,3.8
CM-S9-C3,4.3
CM-S9-C4,3.8
CM-S9-C5,3.7
HR-C1,2.6
HR-C10,1.7
HR-C2,2.5
HR-C3,2.4
HR-C4,2.3
HR-C4_S1,2.2
HR-C5,2.3
HR-C6,2.1
HR-C7,2.1
HR-C8,1.7
HR-C9,1.8
HR-GT,1.6
HR-PT-1,2.6
HR-PT-2,2.4
HR-PT-3,2.4
HR-PT-4,2
HR-PT-5,2.2
HR-TR,1.5
JC-CEN,2.1
JC-CO-1,1.8
JC-CO-1_S1,1.8
JC-CO-2,2.2
JC-CO-3,2.5
JC-CO-4,2.1
JC-PM-12,2
JC-PM-14,2
JC-PM-14_S1,1.9
JC-PM-23,2.3
JC-PM-34,2.3
K-01-B,1
K-01-I,0.8
K-01-W,1.6
K-02-B,3.2
K-02-I,3.1
K-02-W,3.2
K-03-B,0.5
K-03-I,3
K-03-W,1.7
K-04-B,3.2
K-04-I,3.7
K-04-W,3.2
K-05-B,4.6
K-05-I,3.9
K-05-W,4.1
K-06-B,1.8
K-06-I,2.1
K-06-W,2
K-07-B,7.2
K-07-I,7.2
K-07-W,6.8
K-08-B,7.3
K-08-I,7.5
K-08-W,7.4
K-09-B,1.9
K-09-I,1.7
K-09-W,1.9
K-10-B,5.3
K-10-I,5
K-10-W,5.3
K-11-B,2.3
K-11-I,2.6
K-11-W,2.8
K-12-B,7.1
K-12-I,6.8
K-12-W,7.5
K-13-B,6.2
K-13-I,6.1
K-13-W,6.2
K-14-B,2.8
K-14-I,1
K-14-W,4
K-15-B,4.6
K-15-I,4.1
K-15-W,4.6
K-16-B,2.8
K-16-I,5.2
K-16-W,5.1
K-17-B,4.1
K-17-I,3.3
K-17-W,4.2
K-18-B,3.3
K-18-I,2.1
K-18-W,3.1
K-19-B,4.8
K-19-I,5.8
K-19-W,7.8
K-20-B,2.1
K-20-I,1.8
K-20-W,1.5
LH-CX1,8.4
LH-CX1_S1-2,8.4
LH-CX2,10.1
LH-CX2_S1,10
LH-CX3,4.5
LH-CX3_S1,4.4
LH-N1,2.9
LH-N1_S3-4,2.8
LH-N2,11.9
LH-N3,5.3
LH-N4,7.1
LH-N5,9
LH-N5_S3,9
LH-S10-C1,2.3
LH-S10-C1_S1-2,2.3
LH-S10-C2,1.1
LH-S10-C3,1.3
LH-S10-C3_S1,1.1
LH-S10-C3_S2,1
LH-S10-C4,5.4
LH-S10-C4_S1-2,5.4
LH-S10-C5,8
LH-S10-C5_S1,7.6
LH-S10-C5_S2,8
LH-S1-C1_S1,16.1
LH-S1-C1_S2,16.1
LH-S1-C1_S3,16.1
LH-S1-C2_S1,20
LH-S1-C2_S2-5,20
LH-S1-C3_S1,20.4
LH-S1-C3_S2-6,20.4
LH-S1-C4_S1-5,20
LH-S1-C5_S1,20.1
LH-S1-C5_S2-5,20.1
LH-S2-C1,20.3
LH-S2-C2,20.7
LH-S2-C3,21.2
LH-S2-C3_S1,21.2
LH-S2-C4,21.5
LH-S2-C4_S1,21.5
LH-S2-C4_S2,21.5
LH-S2-C5,22.2
LH-S2-C5_S1,22.2
LH-S3-C1,14
LH-S3-C1_S1,14
LH-S3-C2,13.5
LH-S3-C3,12.1
LH-S3-C4,11.2
LH-S3-C4_S1,11.1
LH-S3-C5,12.1
LH-S3-C5_S1,12.1
LH-S4-C1,9.4
LH-S4-C1_S1,9.4
LH-S4-C2,9
LH-S4-C3,8.3
LH-S4-C3_S1,8.2
LH-S4-C3_S3,8.2
LH-S4-C4,7.4
LH-S4-C4_S1-2,7.4
LH-S4-C5,7.2
LH-S4-C5_S1,7.2
LH-S5-C2,3.4
