camera,status,loc,ft,s0.date,s1.rd,s1.date,s1.pt,s2.rd,s2.date,s2.pt,s3.rd,s3.date,s3.pt,s4.rd,s4.date,s4.pt,s5.rd,s5.date,s5.pt,s6.rd,s6.date,s6.pt,s7.rd,s7.date,s7.pt,s8.rd,s8.date,s8.pt,,
CM-S1-C3,1,r,w,12/08/2019,160,20/01/2020,c,130,28/06/2020,o,70,14/12/2020,l,161,24/05/2021,o,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
CM-S1-C4,1,b,w,12/08/2019,90,20/01/2020,o,148,28/06/2020,o,138,14/12/2020,o,0,24/05/2021,o,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
CM-S1-C5,1,r,i,12/08/2019,161,20/01/2020,o,160,28/06/2020,c,169,14/12/2020,l,161,24/05/2021,o,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
CM-S2-C1,1,r,w,12/08/2019,160,20/01/2020,c,134,28/06/2020,o,169,14/12/2020,l,161,24/05/2021,o,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
CM-S2-C2,1,r,w,12/08/2019,157,20/01/2020,o,97,28/06/2020,o,94,14/12/2020,l,107,24/05/2021,o,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
CM-S2-C3,1,r,w,12/08/2019,161,20/01/2020,o,158,28/06/2020,o,157,14/12/2020,o,158,24/05/2021,o,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
CM-S2-C4,1,r,w,12/08/2019,146,20/01/2020,o,141,28/06/2020,o,169,14/12/2020,l,161,24/05/2021,o,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
CM-S2-C5,1,b,w,12/08/2019,107,20/01/2020,o,110,28/06/2020,o,161,14/12/2020,o,160,24/05/2021,o,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
CM-S3-C1,1,r,i,12/08/2019,157,20/01/2020,o,160,28/06/2020,o,169,14/12/2020,l,161,24/05/2021,o,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
CM-S3-C2,1,g,w,NA,NA,20/01/2020,NA,10,28/06/2020,o,169,14/12/2020,o,161,24/05/2021,o,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
CM-S3-C3,1,b,w,NA,NA,20/01/2020,NA,123,28/06/2020,o,154,14/12/2020,o,NA,24/05/2021,o,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
CM-S3-C4,1,r,w,12/08/2019,154,20/01/2020,c,160,28/06/2020,o,169,14/12/2020,o,161,24/05/2021,o,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
CM-S3-C5,1,g,w,12/08/2019,161,20/01/2020,o,126,28/06/2020,o,108,14/12/2020,o,122,24/05/2021,o,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
CM-S4-C1,1,r,w,13/08/2019,146,21/01/2020,o,60,29/06/2020,o,93,15/12/2020,l,161,25/05/2021,o,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
CM-S4-C2,1,r,i,13/08/2019,157,21/01/2020,o,158,29/06/2020,o,169,15/12/2020,l,161,25/05/2021,o,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
CM-S4-C3,1,r,w,13/08/2019,158,21/01/2020,o,140,29/06/2020,o,158,15/12/2020,l,153,25/05/2021,o,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
CM-S4-C4,1,r,i,13/08/2019,137,21/01/2020,o,150,29/06/2020,o,169,15/12/2020,l,161,25/05/2021,o,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
CM-S4-C5,1,r,w,13/08/2019,159,21/01/2020,o,156,29/06/2020,o,148,15/12/2020,o,161,25/05/2021,o,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
CM-S5-C1,1,g,w,NA,NA,NA,NA,NA,29/06/2020,NA,169,15/12/2020,o,161,25/05/2021,o,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
CM-S5-C2,1,b,w,NA,NA,21/01/2020,NA,9,29/06/2020,o,120,15/12/2020,o,79,25/05/2021,o,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
CM-S5-C3,1,b,w,NA,NA,NA,NA,NA,NA,NA,NA,15/12/2020,NA,54,25/05/2021,o,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
CM-S5-C4,1,r,w,13/08/2019,158,21/01/2020,o,135,29/06/2020,o,157,15/12/2020,o,161,25/05/2021,o,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
CM-S5-C5,1,r,w,13/08/2019,161,21/01/2020,o,100,29/06/2020,o,154,15/12/2020,o,111,25/05/2021,o,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
CM-S6-C1,1,b,w,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25/05/2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
CM-S6-C2,1,b,w,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25/05/2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
CM-S6-C3,1,r,w,13/08/2019,161,21/01/2020,o,127,29/06/2020,o,143,15/12/2020,o,161,25/05/2021,o,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
CM-S6-C4,1,b,w,NA,NA,NA,NA,NA,NA,NA,NA,15/12/2020,NA,161,25/05/2021,o,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
CM-S6-C5,1,b,w,NA,NA,NA,NA,NA,NA,NA,NA,15/12/2020,NA,143,25/05/2021,o,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
CM-S7-C1,1,r,w,14/08/2019,157,22/01/2020,c,110,30/06/2020,o,153,16/12/2020,o,22,26/05/2021,o,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
CM-S7-C2,1,g,w,14/08/2019,160,22/01/2020,o,160,30/06/2020,o,169,16/12/2020,o,161,26/05/2021,o,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
CM-S7-C3,1,r,i,14/08/2019,144,22/01/2020,c,157,30/06/2020,o,169,16/12/2020,l,161,26/05/2021,o,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
CM-S7-C4,1,r,i,14/08/2019,102,22/01/2020,o,135,30/06/2020,o,126,16/12/2020,o,137,26/05/2021,o,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
CM-S7-C5,1,r,w,14/08/2019,157,22/01/2020,o,158,30/06/2020,c,169,16/12/2020,l,158,26/05/2021,o,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
CM-S8-C1,1,b,w,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26/05/2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
CM-S8-C2,1,r,w,14/08/2019,160,22/01/2020,o,160,30/06/2020,o,24,16/12/2020,o,161,26/05/2021,o,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
CM-S8-C3,1,b,w,14/08/2019,161,22/01/2020,o,160,30/06/2020,o,109,16/12/2020,l,86,26/05/2021,o,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
CM-S8-C4,1,r,w,14/08/2019,161,22/01/2020,o,144,30/06/2020,o,169,16/12/2020,o,161,26/05/2021,o,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
CM-S8-C5,1,g,w,14/08/2019,159,22/01/2020,o,160,30/06/2020,o,133,16/12/2020,o,107,26/05/2021,o,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
CM-S9-C1,1,r,i,14/08/2019,161,22/01/2020,o,160,30/06/2020,o,90,16/12/2020,o,161,26/05/2021,o,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
CM-S9-C2,1,r,i,14/08/2019,161,22/01/2020,o,160,30/06/2020,o,138,16/12/2020,o,161,26/05/2021,o,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
CM-S9-C3,1,b,w,14/08/2019,161,22/01/2020,o,133,30/06/2020,o,168,16/12/2020,o,161,26/05/2021,o,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
CM-S9-C4,1,g,w,14/08/2019,154,22/01/2020,c,123,30/06/2020,o,154,16/12/2020,o,161,26/05/2021,o,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
CM-S9-C5,1,r,w,14/08/2019,161,22/01/2020,o,132,30/06/2020,c,169,16/12/2020,o,161,26/05/2021,o,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
HR-C1,1,r,i,1/05/2019,166,16/10/2019,o,132,26/02/2020,o,165,9/08/2020,o,166,27/01/2021,o,145,21/06/2021,o,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
HR-C10,1,g,w,1/05/2019,168,16/10/2019,o,120,26/02/2020,o,164,8/08/2020,o,172,27/01/2021,o,144,21/06/2021,o,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
HR-C2,1,g,b,1/05/2019,163,16/10/2019,o,132,26/02/2020,o,165,9/08/2020,o,169,27/01/2021,o,145,21/06/2021,o,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
HR-C3,1,r,i,1/05/2019,168,16/10/2019,o,133,26/02/2020,o,165,9/08/2020,o,170,27/01/2021,o,144,21/06/2021,o,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
HR-C4,1,g,w,NA,NA,16/10/2019,NA,102,26/02/2020,o,164,8/08/2020,o,153,27/01/2021,o,145,21/06/2021,o,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
HR-C5,1,r,b,1/05/2019,168,16/10/2019,o,123,26/02/2020,o,165,9/08/2020,o,171,27/01/2021,o,145,21/06/2021,o,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
HR-C6,1,b,w,1/05/2019,155,16/10/2019,o,127,26/02/2020,o,165,9/08/2020,o,170,27/01/2021,o,145,21/06/2021,o,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
HR-C7,1,r,w,1/05/2019,138,16/10/2019,o,128,26/02/2020,o,164,8/08/2020,o,172,27/01/2021,o,145,21/06/2021,o,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
HR-C8,1,r,w,1/05/2019,145,16/10/2019,o,133,26/02/2020,o,164,8/08/2020,o,170,27/01/2021,o,145,21/06/2021,o,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
HR-C9,1,g,w,1/05/2019,166,16/10/2019,o,125,26/02/2020,o,134,8/08/2020,o,172,27/01/2021,o,143,21/06/2021,o,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
HR-GT,1,g,w,NA,NA,20/10/2019,NA,129,26/02/2020,o,165,8/08/2020,o,171,27/01/2021,o,143,21/06/2021,o,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
HR-TR,1,g,w,12/05/2019,156,16/10/2019,o,133,26/02/2020,o,164,9/08/2020,o,170,27/01/2021,o,145,21/06/2021,o,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
JC-CEN,1,g,w,5/06/2019,131,14/10/2019,o,37,26/02/2020,o,130,5/08/2020,o,173,27/01/2021,o,146,22/06/2021,o,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
JC-CO-1,1,g,w,NA,NA,14/10/2019,NA,10,26/02/2020,o,91,8/08/2020,o,171,27/01/2021,o,146,22/06/2021,o,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
JC-CO-2,1,r,w,5/06/2019,131,14/10/2019,o,8,26/02/2020,o,106,5/08/2020,o,174,27/01/2021,l,146,22/06/2021,o,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
JC-CO-3,1,b,w,5/06/2019,131,14/10/2019,o,135,26/02/2020,o,114,5/08/2020,o,4,27/01/2021,o,146,22/06/2021,o,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
JC-CO-4,1,b,w,5/06/2019,131,14/10/2019,o,37,26/02/2020,o,153,8/08/2020,o,172,27/01/2021,o,145,22/06/2021,o,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
JC-PM-12,1,b,w,5/06/2019,129,14/10/2019,o,75,26/02/2020,o,146,5/08/2020,o,169,27/01/2021,o,143,22/06/2021,o,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
JC-PM-14,1,g,w,NA,NA,NA,NA,NA,26/02/2020,NA,76,8/08/2020,o,171,27/01/2021,o,146,22/06/2021,o,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
JC-PM-23,1,g,w,5/06/2019,128,14/10/2019,o,8,26/02/2020,o,149,5/08/2020,o,107,27/01/2021,o,146,22/06/2021,o,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
JC-PM-34,1,b,w,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22/06/2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
LH-CX1,1,r,w,NA,NA,NA,NA,NA,19/02/2019,NA,140,9/07/2019,c,76,6/12/2019,c,77,15/06/2020,o,47,23/11/2020,o,93,4/05/2021,o,NA,NA,NA,,
LH-CX2,1,r,w,NA,NA,23/10/2018,NA,93,20/02/2019,o,137,8/07/2019,c,145,7/12/2019,c,192,16/06/2020,c,160,23/11/2020,o,161,3/05/2021,o,NA,NA,NA,,
LH-CX3,1,r,w,NA,NA,22/10/2018,NA,109,20/02/2019,o,138,8/07/2019,o,151,6/12/2019,c,193,16/06/2020,o,136,24/11/2020,o,161,4/05/2021,o,NA,NA,NA,,
LH-N1,1,b,w,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6/12/2019,NA,162,15/06/2020,o,96,23/11/2020,o,163,5/05/2021,o,NA,NA,NA,,
LH-N2,1,b,w,NA,NA,NA,NA,NA,20/02/2019,NA,74,9/07/2019,h,150,6/12/2019,o,192,15/06/2020,o,85,24/11/2020,o,161,4/05/2021,o,NA,NA,NA,,
LH-N3,1,b,w,NA,NA,NA,NA,NA,20/02/2019,NA,61,8/07/2019,o,62,6/12/2019,o,12,16/06/2020,o,133,24/11/2020,o,157,4/05/2021,o,NA,NA,NA,,
LH-N4,1,b,w,NA,NA,NA,NA,NA,20/02/2019,NA,76,8/07/2019,o,159,17/12/2019,o,140,14/06/2020,o,123,23/11/2020,o,89,3/05/2021,o,NA,NA,NA,,
LH-N5,1,b,w,NA,NA,NA,NA,NA,NA,NA,NA,10/07/2019,NA,15,6/12/2019,o,69,14/06/2020,o,115,23/11/2020,o,161,3/05/2021,o,NA,NA,NA,,
LH-S10-C1,1,r,w,NA,NA,NA,NA,NA,21/02/2019,NA,130,10/07/2019,o,148,6/12/2019,c,191,14/06/2020,o,129,23/11/2020,o,161,3/05/2021,o,NA,NA,NA,,
LH-S10-C2,1,r,w,26/06/2018,90,21/10/2018,o,81,21/02/2019,o,138,10/07/2019,o,149,6/12/2019,o,173,14/06/2020,o,149,23/11/2020,o,161,3/05/2021,o,NA,NA,NA,,
LH-S10-C3,1,r,b,NA,NA,NA,NA,NA,NA,NA,NA,10/07/2019,NA,141,6/12/2019,o,190,14/06/2020,o,122,23/11/2020,o,158,3/05/2021,o,NA,NA,NA,,
LH-S10-C4,1,r,w,NA,NA,NA,NA,NA,21/02/2019,NA,136,10/07/2019,o,148,6/12/2019,o,181,14/06/2020,o,143,23/11/2020,o,161,3/05/2021,o,NA,NA,NA,,
LH-S10-C5,1,r,i,NA,NA,NA,NA,NA,21/02/2019,NA,138,10/07/2019,o,149,6/12/2019,c,149,14/06/2020,o,162,23/11/2020,o,161,3/05/2021,o,NA,NA,NA,,
LH-S1-C1,1,b,w,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15/06/2020,NA,92,24/11/2020,c,145,4/05/2021,o,NA,NA,NA,,
LH-S1-C2,1,g,w,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31/08/2020,NA,50,24/11/2020,o,161,4/05/2021,o,NA,NA,NA,,
LH-S1-C3,1,r,w,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24/11/2020,NA,161,4/05/2021,o,NA,NA,NA,,
LH-S1-C4,1,g,w,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31/08/2020,NA,84,24/11/2020,o,161,4/05/2021,o,NA,NA,NA,,
LH-S1-C5,1,g,w,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31/08/2020,NA,84,24/11/2020,o,161,4/05/2021,o,NA,NA,NA,,
LH-S2-C1,1,b,w,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24/11/2020,NA,75,4/05/2021,o,NA,NA,NA,,
LH-S2-C2,1,r,w,27/06/2018,72,22/10/2018,o,79,19/02/2019,o,138,9/07/2019,o,97,6/12/2019,o,73,15/06/2020,o,41,24/11/2020,o,161,4/05/2021,o,NA,NA,NA,,
LH-S2-C3,1,r,w,NA,NA,22/10/2018,NA,97,19/02/2019,o,138,9/07/2019,o,150,6/12/2019,o,185,15/06/2020,o,131,24/11/2020,o,161,4/05/2021,o,NA,NA,NA,,
LH-S2-C4,1,r,w,NA,NA,NA,NA,NA,NA,NA,NA,9/07/2019,NA,101,6/12/2019,o,192,15/06/2020,o,96,24/11/2020,h,161,4/05/2021,o,NA,NA,NA,,
LH-S2-C5,1,r,w,NA,NA,22/10/2018,NA,99,19/02/2019,l,140,9/07/2019,o,49,6/12/2019,o,157,15/06/2020,o,98,24/11/2020,o,140,4/05/2021,o,NA,NA,NA,,
LH-S3-C1,1,r,w,NA,NA,22/10/2018,NA,86,20/02/2019,o,138,9/07/2019,o,19,6/12/2019,o,192,15/06/2020,o,139,24/11/2020,o,161,4/05/2021,o,NA,NA,NA,,
LH-S3-C2,1,r,w,27/06/2018,115,22/10/2018,o,105,20/02/2019,o,66,9/07/2019,o,149,6/12/2019,c,191,15/06/2020,o,147,24/11/2020,o,161,4/05/2021,o,NA,NA,NA,,
LH-S3-C3,1,r,w,27/06/2018,90,22/10/2018,l,73,20/02/2019,o,69,9/07/2019,c,150,6/12/2019,o,144,15/06/2020,o,86,24/11/2020,o,142,4/05/2021,o,NA,NA,NA,,
LH-S3-C4,1,r,w,NA,NA,22/10/2018,NA,14,20/02/2019,o,138,9/07/2019,o,150,6/12/2019,o,192,15/06/2020,o,62,24/11/2020,o,130,4/05/2021,o,NA,NA,NA,,
LH-S3-C5,1,r,w,NA,NA,22/10/2018,NA,88,20/02/2019,c,138,9/07/2019,o,149,6/12/2019,o,187,15/06/2020,o,132,24/11/2020,o,161,4/05/2021,o,NA,NA,NA,,
LH-S4-C1,1,b,w,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4/05/2021,NA,NA,NA,NA,,
LH-S4-C2,1,r,i,28/06/2018,116,22/10/2018,h,120,19/02/2019,h,131,9/07/2019,o,144,6/12/2019,o,71,16/06/2020,o,151,23/11/2020,o,106,4/05/2021,o,NA,NA,NA,,
LH-S4-C3,1,r,i,NA,NA,NA,NA,NA,NA,NA,NA,9/07/2019,NA,149,6/12/2019,o,193,16/06/2020,o,157,23/11/2020,o,162,4/05/2021,o,NA,NA,NA,,
LH-S4-C4,1,r,i,NA,NA,NA,NA,NA,19/02/2019,NA,140,9/07/2019,c,150,6/12/2019,o,188,16/06/2020,o,160,23/11/2020,o,160,4/05/2021,o,NA,NA,NA,,
LH-S4-C5,1,r,i,NA,NA,22/10/2018,NA,120,19/02/2019,o,138,9/07/2019,l,147,6/12/2019,o,181,16/06/2020,c,158,23/11/2020,o,160,4/05/2021,o,NA,NA,NA,,
LH-S5-C2,1,r,i,NA,NA,NA,NA,NA,19/02/2019,NA,140,9/07/2019,c,17,6/12/2019,c,32,15/06/2020,o,161,23/11/2020,o,163,5/05/2021,o,NA,NA,NA,,
LH-S5-C3,1,r,w,NA,NA,23/10/2018,NA,89,19/02/2019,o,140,9/07/2019,o,149,6/12/2019,o,171,15/06/2020,o,161,23/11/2020,o,163,5/05/2021,o,NA,NA,NA,,
LH-S5-C4,1,r,w,NA,NA,23/10/2018,NA,103,19/02/2019,o,140,9/07/2019,o,108,6/12/2019,o,NA,15/06/2020,NA,139,23/11/2020,o,163,5/05/2021,o,NA,NA,NA,,
LH-S5-C5,1,r,i,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23/11/2020,NA,162,4/05/2021,o,NA,NA,NA,,
LH-S6-C1,1,r,w,28/06/2018,100,22/10/2018,o,98,20/02/2019,o,138,8/07/2019,o,151,6/12/2019,o,193,16/06/2020,o,161,24/11/2020,l,161,4/05/2021,o,NA,NA,NA,,
LH-S6-C2,1,r,w,NA,NA,22/10/2018,NA,100,20/02/2019,h,138,8/07/2019,o,149,6/12/2019,o,193,16/06/2020,o,86,24/11/2020,o,159,4/05/2021,l,NA,NA,NA,,
LH-S6-C3,1,r,w,NA,NA,22/10/2018,NA,107,20/02/2019,o,136,8/07/2019,o,147,6/12/2019,c,193,16/06/2020,o,159,24/11/2020,o,161,4/05/2021,l,NA,NA,NA,,
LH-S6-C4,1,r,w,28/06/2018,101,22/10/2018,o,99,20/02/2019,o,137,8/07/2019,o,131,6/12/2019,o,176,16/06/2020,o,102,24/11/2020,o,160,4/05/2021,o,NA,NA,NA,,
LH-S6-C5,1,r,w,28/06/2018,81,22/10/2018,o,96,20/02/2019,o,136,8/07/2019,o,149,6/12/2019,o,193,16/06/2020,o,156,24/11/2020,o,161,4/05/2021,o,NA,NA,NA,,
LH-S7-C1,1,r,w,NA,NA,21/10/2018,NA,78,20/02/2019,h,138,8/07/2019,o,161,17/12/2019,o,180,14/06/2020,o,112,23/11/2020,o,161,3/05/2021,o,NA,NA,NA,,
LH-S7-C2,1,r,w,29/06/2018,100,21/10/2018,o,98,20/02/2019,o,137,8/07/2019,o,162,17/12/2019,o,180,14/06/2020,o,146,23/11/2020,o,161,3/05/2021,o,NA,NA,NA,,
LH-S7-C3,1,g,w,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29/07/2019,NA,171,14/06/2020,o,133,23/11/2020,o,155,3/05/2021,o,NA,NA,NA,,
LH-S7-C4,1,r,w,NA,NA,NA,NA,NA,NA,NA,NA,8/07/2019,NA,134,17/12/2019,o,167,14/06/2020,o,128,23/11/2020,o,161,3/05/2021,o,NA,NA,NA,,
LH-S7-C5,1,r,w,NA,NA,21/10/2018,NA,92,20/02/2019,c,135,8/07/2019,o,162,17/12/2019,o,180,14/06/2020,o,79,23/11/2020,o,161,3/05/2021,o,NA,NA,NA,,
LH-S8-C1,1,r,w,NA,NA,23/10/2018,NA,93,20/02/2019,o,137,8/07/2019,o,151,7/12/2019,c,165,14/06/2020,o,59,23/11/2020,o,161,3/05/2021,o,NA,NA,NA,,
LH-S8-C2,1,r,w,NA,NA,23/10/2018,NA,106,20/02/2019,h,138,8/07/2019,o,152,7/12/2019,o,192,14/06/2020,o,162,23/11/2020,o,161,3/05/2021,o,NA,NA,NA,,
LH-S8-C3,1,r,w,NA,NA,23/10/2018,NA,106,20/02/2019,o,138,8/07/2019,o,150,7/12/2019,o,192,16/06/2020,o,160,23/11/2020,o,161,3/05/2021,o,NA,NA,NA,,
LH-S8-C4,1,g,w,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16/06/2020,NA,148,23/11/2020,o,161,3/05/2021,o,NA,NA,NA,,
LH-S8-C5,1,r,w,NA,NA,23/10/2018,NA,101,20/02/2019,o,138,8/07/2019,c,152,7/12/2019,o,82,16/06/2020,o,148,23/11/2020,o,161,3/05/2021,o,NA,NA,NA,,
LH-S9-C1,1,r,i,NA,NA,NA,NA,NA,20/02/2019,NA,138,10/07/2019,o,146,6/12/2019,c,185,14/06/2020,o,159,23/11/2020,o,159,3/05/2021,o,NA,NA,NA,,
LH-S9-C2,1,r,i,29/06/2018,114,21/10/2018,o,122,20/02/2019,o,138,10/07/2019,o,149,6/12/2019,o,167,14/06/2020,o,91,23/11/2020,o,161,3/05/2021,o,NA,NA,NA,,
LH-S9-C3,1,r,w,NA,NA,NA,NA,NA,20/02/2019,NA,140,10/07/2019,o,141,6/12/2019,o,134,14/06/2020,o,85,23/11/2020,o,106,3/05/2021,o,NA,NA,NA,,
MR-N1,1,b,w,NA,NA,NA,NA,NA,8/05/2019,NA,44,29/10/2019,o,139,4/06/2020,o,66,3/11/2020,o,125,14/04/2021,o,NA,NA,NA,NA,NA,NA,,
MR-N2,1,b,w,NA,NA,NA,NA,NA,9/05/2019,NA,42,30/10/2019,o,140,5/06/2020,o,67,4/11/2020,o,105,14/04/2021,o,NA,NA,NA,NA,NA,NA,,
MR-N3,1,b,w,NA,NA,NA,NA,NA,9/05/2019,NA,62,30/10/2019,o,111,5/06/2020,o,125,4/11/2020,o,106,16/04/2021,l,NA,NA,NA,NA,NA,NA,,
MR-N4,1,b,w,NA,NA,NA,NA,NA,9/05/2019,NA,61,29/10/2019,o,209,6/06/2020,o,106,3/11/2020,o,144,16/04/2021,o,NA,NA,NA,NA,NA,NA,,
MR-N5,1,g,w,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16/04/2021,NA,NA,NA,NA,NA,NA,NA,,
MR-S10-C1,1,r,w,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15/04/2021,NA,NA,NA,NA,NA,NA,NA,,
MR-S10-C2,1,b,w,NA,NA,NA,NA,NA,NA,NA,NA,30/10/2019,NA,138,6/06/2020,o,100,5/11/2020,o,131,16/04/2021,o,NA,NA,NA,NA,NA,NA,,
MR-S10-C3,1,g,w,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5/11/2020,NA,37,16/04/2021,o,NA,NA,NA,NA,NA,NA,,
MR-S10-C4,1,g,w,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15/04/2021,NA,NA,NA,NA,NA,NA,NA,,
MR-S10-C5,1,g,w,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15/04/2021,NA,NA,NA,NA,NA,NA,NA,,
MR-S1-C1,1,r,w,NA,NA,24/01/2019,NA,73,8/05/2019,o,143,29/10/2019,o,127,5/06/2020,o,81,2/11/2020,o,79,14/04/2021,o,NA,NA,NA,NA,NA,NA,,
MR-S1-C2,1,r,i,NA,NA,24/01/2019,NA,104,8/05/2019,o,174,29/10/2019,c,150,5/06/2020,o,141,2/11/2020,o,114,14/04/2021,o,NA,NA,NA,NA,NA,NA,,
MR-S1-C3,1,r,i,NA,NA,24/01/2019,NA,104,8/05/2019,o,174,29/10/2019,o,220,5/06/2020,o,150,2/11/2020,o,163,14/04/2021,o,NA,NA,NA,NA,NA,NA,,
MR-S1-C4,1,r,w,NA,NA,24/01/2019,NA,57,8/05/2019,o,119,28/10/2019,o,145,4/06/2020,o,104,2/11/2020,o,77,14/04/2021,o,NA,NA,NA,NA,NA,NA,,
