camera,status,loc,ft,s0.date,s1.rd,s1.date,s1.pt,s2.rd,s2.date,s2.pt,s3.rd,s3.date,s3.pt,s4.rd,s4.date,s4.pt,s5.rd,s5.date,s5.pt,s6.rd,s6.date,s6.pt,s7.rd,s7.date,s7.pt,s8.rd,s8.date,s8.pt,,
AF-S4-C4,1,g,i,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5/12/2019,NA,195,17/06/2020,o,162,26/11/2020,o,92,6/05/2021,o,,
AF-S4-C5,1,r,w,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6/05/2021,NA,,
AF-S5-C1,1,r,w,NA,NA,NA,NA,NA,25/10/2018,NA,84,2/04/2019,o,55,11/07/2019,o,119,5/12/2019,o,100,17/06/2020,o,40,26/11/2020,o,161,6/05/2021,o,,
AF-S5-C2,1,r,w,NA,NA,NA,NA,NA,25/10/2018,NA,25,2/04/2019,o,21,11/07/2019,o,55,5/12/2019,o,70,17/06/2020,o,160,26/11/2020,o,161,6/05/2021,o,,
AF-S5-C3,1,r,w,NA,NA,NA,NA,NA,24/10/2018,NA,109,2/04/2019,o,83,11/07/2019,o,144,5/12/2019,o,195,17/06/2020,o,146,26/11/2020,o,161,6/05/2021,o,,
AF-S5-C4,1,r,w,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26/11/2020,NA,161,6/05/2021,o,,
AF-S5-C5,1,b,w,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17/06/2020,o,261,6/05/2021,o,,
AF-S6-C1,1,g,w,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5/12/2019,c,195,17/06/2020,o,85,26/11/2020,o,161,6/05/2021,o,,
AF-S6-C2,1,r,w,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26/11/2020,NA,19,6/05/2021,o,,
AF-S6-C3,1,r,w,NA,NA,NA,NA,NA,NA,NA,NA,2/04/2019,NA,84,11/07/2019,o,82,5/12/2019,o,195,17/06/2020,o,162,26/11/2020,o,161,6/05/2021,l,,
AF-S6-C4,1,r,w,6/06/2018,62,7/08/2018,o,79,25/10/2018,o,93,2/04/2019,o,74,11/07/2019,o,147,5/12/2019,o,191,17/06/2020,o,98,26/11/2020,l,161,6/05/2021,o,,
AF-S6-C5,1,r,w,6/06/2018,62,7/08/2018,o,79,25/10/2018,o,95,2/04/2019,o,79,11/07/2019,o,120,5/12/2019,o,53,17/06/2020,o,31,26/11/2020,o,162,6/05/2021,o,,
AF-S7-C1,1,r,w,NA,NA,NA,NA,NA,NA,NA,NA,1/04/2019,NA,96,11/07/2019,o,61,4/12/2019,o,49,17/06/2020,o,162,26/11/2020,o,161,6/05/2021,o,,
AF-S7-C2,1,r,w,NA,NA,NA,NA,NA,NA,NA,NA,1/04/2019,NA,69,11/07/2019,o,141,4/12/2019,c,178,17/06/2020,o,3,26/11/2020,o,161,16/05/2021,o,,
AF-S7-C3,1,r,w,NA,NA,6/08/2018,NA,79,24/10/2018,o,84,1/04/2019,o,62,11/07/2019,o,146,4/12/2019,o,164,17/06/2020,o,128,26/11/2020,o,161,6/05/2021,o,,
AF-S7-C4,1,r,w,5/06/2018,62,6/08/2018,o,78,24/10/2018,o,35,1/04/2019,o,68,11/07/2019,o,115,4/12/2019,o,103,17/06/2020,o,65,26/11/2020,o,161,6/05/2021,o,,
AF-S7-C5,1,r,w,5/06/2018,62,6/08/2018,l,79,24/10/2018,o,89,1/04/2019,o,54,11/07/2019,o,134,4/12/2019,c,164,17/06/2020,o,113,26/11/2020,o,161,6/05/2021,o,,
AF-S8-C1,1,r,w,NA,NA,NA,NA,NA,NA,NA,NA,21/02/2019,NA,139,10/07/2019,o,147,4/12/2019,c,195,16/06/2020,o,108,25/11/2020,o,115,5/05/2021,o,,
AF-S8-C2,1,r,w,NA,NA,NA,NA,NA,24/10/2018,NA,79,21/02/2019,o,136,10/07/2019,o,147,4/12/2019,c,136,16/06/2020,o,119,25/11/2020,o,109,5/05/2021,o,,
AF-S8-C3,1,r,w,NA,NA,NA,NA,NA,24/10/2018,NA,76,21/02/2019,o,139,10/07/2019,o,85,4/12/2019,o,110,16/06/2020,o,90,25/11/2020,o,58,5/05/2021,o,,
AF-S8-C4,1,r,w,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25/11/2020,NA,109,5/05/2021,o,,
AF-S8-C5,1,r,w,NA,NA,NA,NA,NA,NA,NA,NA,21/02/2019,NA,139,10/07/2019,o,65,4/12/2019,o,105,16/06/2020,o,162,25/11/2020,o,161,5/05/2021,o,,
AF-S9-C1,1,r,w,7/06/2018,60,6/08/2018,o,81,26/10/2018,o,90,21/02/2019,o,133,10/07/2019,o,77,4/12/2019,o,63,16/06/2020,o,148,25/11/2020,o,161,5/05/2021,o,,
AF-S9-C2,1,r,w,NA,NA,NA,NA,NA,NA,NA,NA,21/02/2019,NA,139,10/07/2019,o,111,4/12/2019,o,98,17/06/2020,o,79,25/11/2020,o,61,5/05/2021,o,,
AF-S9-C3,1,r,w,NA,NA,NA,NA,NA,NA,NA,NA,21/02/2019,NA,94,10/07/2019,o,55,4/12/2019,o,15,17/06/2020,o,162,25/11/2020,o,161,5/05/2021,o,,
AF-S9-C4,1,r,w,NA,NA,NA,NA,NA,NA,NA,NA,21/02/2019,NA,139,10/07/2019,o,118,4/12/2019,o,164,17/06/2020,o,132,25/11/2020,o,65,5/05/2021,o,,
AF-S9-C5,1,r,w,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25/11/2020,NA,161,5/05/2021,o,,
BF-N1,1,b,w,16/08/2019,130,23/01/2020,o,90,1/07/2020,o,149,17/12/2020,l,112,27/05/2021,o,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
BF-N2,1,b,w,16/08/2019,159,24/01/2020,o,91,1/07/2020,o,170,18/12/2020,o,161,28/05/2021,o,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
BF-N3,1,b,w,15/08/2019,151,23/01/2020,o,141,1/07/2020,o,4,17/12/2020,o,161,27/05/2021,o,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
BF-N4,1,b,w,NA,NA,23/01/2020,NA,32,1/07/2020,o,9,17/12/2020,o,161,27/05/2021,o,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
BF-N5,1,b,w,NA,NA,NA,NA,NA,2/07/2020,NA,169,18/12/2020,o,159,26/05/2021,o,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
BF-NAARD-C1,1,b,w,NA,NA,NA,NA,NA,NA,NA,NA,17/12/2020,NA,161,27/05/2021,o,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
BF-S10-C1,1,r,w,14/08/2019,161,22/01/2020,o,123,2/07/2020,o,116,18/12/2020,o,84,26/05/2021,o,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
BF-S10-C2,1,b,w,NA,NA,NA,NA,NA,NA,NA,NA,18/12/2020,NA,159,26/05/2021,o,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
BF-S10-C3,1,r,w,14/08/2019,121,22/01/2020,o,151,2/07/2020,o,140,18/12/2020,o,125,26/05/2021,o,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
BF-S10-C4,1,r,w,14/08/2019,154,22/01/2020,o,102,2/07/2020,o,169,18/12/2020,o,159,26/05/2021,o,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
BF-S10-C5,1,b,b,NA,NA,NA,NA,NA,NA,NA,NA,18/12/2020,NA,98,26/05/2021,o,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
BF-S1-C1,1,r,w,13/08/2019,157,21/01/2020,o,148,29/06/2020,o,169,15/12/2020,o,161,25/05/2021,o,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
BF-S1-C2,1,r,i,13/08/2019,161,21/01/2020,c,160,29/06/2020,o,64,15/12/2020,c,161,25/05/2021,o,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
BF-S1-C3,1,b,w,NA,NA,21/01/2020,NA,94,29/06/2020,o,2,15/12/2020,o,161,25/05/2021,o,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
BF-S1-C4,1,b,w,13/08/2019,140,21/01/2020,o,124,29/06/2020,o,103,15/12/2020,l,33,25/05/2021,o,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
